1, 54
2, 26
3, 10
4, 47
5, 50
6, 45
7, 65
8, 67
9, 75
10, 43
11, 90
12, 69
13, 77
14, 70
15, 71
16, 80
17, 61
18, 72
19, 72
20, 73
21, 67
22, 66
23, 46
24, 75
25, 66
26, 99
27, 125
28, 124
29, 103
30, 53
31, 102
32, 88
33, 85
34, 80
35, 21
36, 86
37, 64
38, 73
39, 59
40, 63
41, 48
42, 52
43, 45
44, 85
45, 73
46, 85
47, 71
48, 72
49, 85
50, 84
51, 86
52, 98
53, 94
54, 49
55, 64
56, 83
57, 76
58, 70
59, 75
60, 74
61, 69
62, 49
63, 59
64, 44
65, 59
66, 61
67, 64
68, 59
69, 61
70, 71
71, 86
72, 85
73, 90
74, 111
75, 87
76, 102
77, 88
78, 47
79, 48
80, 83
81, 51
82, 90
83, 46
84, 14
85, 84
86, 45
87, 54
88, 9
89, 88
90, 75
91, 87
92, 90
93, 73
94, 53
95, 12
241, 52
242, 91
243, 88
244, 89
245, 91
246, 98
247, 29
248, 91
249, 78
250, 97
251, 65
252, 96
253, 86
254, 97
255, 91
256, 77
257, 41
258, 59
259, 80
260, 461
261, 158
262, 96
263, 202
264, 158
265, 139
266, 47
267, 47
268, 44
269, 27
270, 44
271, 80
272, 169
273, 154
274, 57
275, 69
276, 58
277, 55
278, 67
279, 68
280, 42
281, 100
282, 61
283, 68
284, 79
285, 65
286, 48
287, 94
288, 85
289, 37
290, 17
291, 67
292, 70
293, 69
294, 54
295, 63
296, 66
297, 58
298, 52
299, 83
300, 56
301, 24
302, 52
303, 53
304, 42
305, 46
306, 40
307, 16
308, 90
309, 118
310, 13
311, 23
312, 37
313, 72
314, 17
315, 51
316, 55
317, 42
318, 46
319, 16
320, 22
321, 36
322, 28
323, 27
324, 70
325, 38
326, 51
327, 28
328, 28
329, 11
330, 131
331, 54
332, 117
333, 130
334, 234
335, 60
336, 402
337, 64
338, 249
339, 159
340, 161
341, 74
342, 87
343, 186
344, 198
345, 240
346, 211
347, 249
348, 375
349, 249
350, 87
351, 343
352, 352
353, 74
354, 336
355, 96
356, 88
357, 250
358, 321
359, 217
360, 64
361, 67
362, 87
363, 305
364, 250
365, 90
366, 57
367, 89
368, 77
369, 283
370, 264
371, 288
372, 69
373, 269
374, 301
375, 282
376, 186
377, 263
378, 254
379, 235
380, 260
381, 423
382, 265
383, 92
384, 226
385, 186
386, 208
387, 283
388, 86
389, 94
390, 90
391, 371
392, 192
393, 79
394, 42
395, 271
396, 344
397, 247
398, 395
399, 87
400, 241
401, 119
402, 260
403, 293
404, 81
405, 220
406, 65
407, 239
408, 243
409, 74
410, 53
411, 81
412, 261
413, 183
414, 191
415, 266
416, 189
417, 200
418, 99
419, 41
420, 219
421, 62
422, 150
423, 108
424, 129
425, 124
426, 171
427, 48
428, 60
429, 100
430, 100
431, 177
432, 270
433, 214
434, 116
435, 139
436, 249
437, 134
438, 126
439, 147
440, 69
441, 113
442, 141
443, 95
444, 249
445, 113
446, 96
447, 102
448, 190
449, 252
450, 43
451, 44
452, 196
453, 49
454, 43
455, 53
456, 45
457, 191
458, 64
459, 86
460, 22
461, 149
462, 79
463, 55
464, 55
465, 160
466, 34
467, 78
468, 133
469, 43
470, 192
471, 164
472, 160
473, 62
474, 157
475, 120
476, 151
477, 64
478, 19
